,result,table,_time,_value
,_result,0,2022-07-05T00:00:00Z,35.5
,_result,0,2022-07-06T00:00:00Z,20.900000000000006
,_result,0,2022-07-07T00:00:00Z,28.80000000000001
,_result,0,2022-07-08T00:00:00Z,22.900000000000006
,_result,0,2022-07-09T00:00:00Z,24.10000000000001
,_result,0,2022-07-11T00:00:00Z,24
,_result,0,2022-07-12T00:00:00Z,23
,_result,0,2022-07-13T00:00:00Z,26
,_result,0,2022-07-14T00:00:00Z,29.099999999999994
,_result,0,2022-09-11T00:00:00Z,25.700000000000003
,_result,0,2022-09-12T00:00:00Z,23.5
,_result,0,2022-09-13T00:00:00Z,23.10000000000001
,_result,0,2022-09-14T00:00:00Z,26.400000000000006
,_result,0,2022-09-15T00:00:00Z,29.599999999999994
,_result,0,2022-09-16T00:00:00Z,29.80000000000001
,_result,0,2022-09-17T00:00:00Z,18.900000000000006
,_result,0,2022-09-18T00:00:00Z,13.300000000000011
,_result,0,2022-09-19T00:00:00Z,19.5
,_result,0,2022-09-20T00:00:00Z,13.5
,_result,0,2022-09-21T00:00:00Z,18.60000000000001
,_result,0,2022-09-22T00:00:00Z,15.700000000000003
,_result,0,2022-09-23T00:00:00Z,18.30000000000001
,_result,0,2022-09-24T00:00:00Z,18.80000000000001
,_result,0,2022-09-25T00:00:00Z,21.80000000000001
,_result,0,2022-09-26T00:00:00Z,22
,_result,0,2022-09-27T00:00:00Z,21.200000000000003
,_result,0,2022-09-28T00:00:00Z,21
,_result,0,2022-09-29T00:00:00Z,19.200000000000003
,_result,0,2022-09-30T00:00:00Z,25.60000000000001
,_result,0,2022-10-01T00:00:00Z,25.80000000000001
,_result,0,2022-10-02T00:00:00Z,24.60000000000001
,_result,0,2022-10-03T00:00:00Z,21.700000000000003
,_result,0,2022-10-04T00:00:00Z,19
,_result,0,2022-10-05T00:00:00Z,18.400000000000006
,_result,0,2022-10-06T00:00:00Z,19.900000000000006
,_result,0,2022-10-07T00:00:00Z,21.5
,_result,0,2022-10-13T00:00:00Z,22.10000000000001
,_result,0,2022-10-14T00:00:00Z,21.5
,_result,0,2022-10-15T00:00:00Z,24.5
,_result,0,2022-10-16T00:00:00Z,21.80000000000001
,_result,0,2022-10-17T00:00:00Z,21.700000000000003
,_result,0,2022-10-18T00:00:00Z,22.400000000000006
,_result,0,2022-10-19T00:00:00Z,23.80000000000001
,_result,0,2022-10-20T00:00:00Z,24.10000000000001
,_result,0,2022-10-21T00:00:00Z,21.400000000000006
,_result,0,2022-10-22T00:00:00Z,22.80000000000001
,_result,0,2022-10-23T00:00:00Z,20.900000000000006
,_result,0,2022-10-24T00:00:00Z,20.30000000000001
,_result,0,2022-10-25T00:00:00Z,24.30000000000001
,_result,0,2022-10-26T00:00:00Z,23.5
,_result,0,2022-10-27T00:00:00Z,23.400000000000006
,_result,0,2022-10-28T00:00:00Z,27.400000000000006
,_result,0,2022-10-29T00:00:00Z,24.80000000000001
,_result,0,2022-10-30T00:00:00Z,23.60000000000001
,_result,0,2022-10-31T00:00:00Z,24.10000000000001
,_result,0,2022-11-01T00:00:00Z,23.5
,_result,0,2022-11-02T00:00:00Z,24.5
,_result,0,2022-11-03T00:00:00Z,24.30000000000001
,_result,0,2022-11-04T00:00:00Z,25.200000000000003
,_result,0,2022-11-05T00:00:00Z,24
,_result,0,2022-11-06T00:00:00Z,23.700000000000003
,_result,0,2022-11-07T00:00:00Z,23.700000000000003
,_result,0,2022-11-08T00:00:00Z,24.200000000000003
,_result,0,2022-11-09T00:00:00Z,24.700000000000003
,_result,0,2022-11-10T00:00:00Z,25.10000000000001
,_result,0,2022-11-11T00:00:00Z,24.200000000000003
,_result,0,2022-11-12T00:00:00Z,24.200000000000003
,_result,0,2022-11-13T00:00:00Z,25.80000000000001
,_result,0,2022-11-14T00:00:00Z,26.80000000000001
,_result,0,2022-11-14T23:11:32.56492651Z,24.5

